Connecting to 89.116.53.41...
Login successful.
Syncing: temp_ftp_blog/articles -> /public_html/articles
  Uploading article3.json
  Uploading best-4k-monitors-2025.json
  Uploading affiliate_links.json
  Uploading best-mechanical-keyboards-2025.json
  Uploading article9.json
  Uploading best-laptops-2025.json
  Uploading best-gaming-accessories-2025.json
  Uploading best-smart-home-devices-2025.json
  Uploading best-portable-monitors-2025.json
  Uploading article4.json
  Uploading best-eco-friendly-products-amazon-2025.json
  Uploading best-gaming-headsets-2025.json
  Uploading sony-wh-1000xm5-review.json
  Uploading summer-2025-laptop-buying-guide.json
  Uploading best-tech-gadgets-amazon-2025.json
  Uploading iphone-17-vs-samsung-s25.json
  Uploading best-budget-tech-gadgets-2024.json
  Uploading dji-mini-4-pro-review.json
  Uploading sony-wh-1000xm5-vs-bose-qc-ultra-comparison.json
  Uploading article1.json
  Uploading internal_linking_map.json
  Uploading index.json
  Uploading top-10-smart-home-gadgets-amazon-2025.json
  Uploading revolutionary-ai-tech-products-amazon-2025.json
  Uploading ai-assistants-comparison-2025.json
  Uploading best-wireless-earbuds-2025.json
  Uploading template.html.bak
Syncing: temp_ftp_blog/audio -> /public_html/audio
Syncing: temp_ftp_blog/public -> /public_html/public
Syncing: temp_ftp_blog/public/images -> /public_html/public/images
Syncing: temp_ftp_blog/public/images/articles -> /public_html/public/images/articles
Syncing: temp_ftp_blog/scripts -> /public_html/scripts
  Uploading template.html
  Uploading articles.json
Syncing: temp_ftp_blog/data -> /public_html/data
Syncing: temp_ftp_blog/data/articles -> /public_html/data/articles
  Uploading article3.json
  Uploading best-4k-monitors-2025.json
  Uploading top-ai-gadgets-amazon-2025.json
  Uploading affiliate_links.json
  Uploading best-mechanical-keyboards-2025.json
  Uploading top-wireless-earbuds-2025-comparison.json
  Uploading article9.json
  Uploading best-laptops-2025.json
  Uploading apple-watch-ultra-2-review.json
  Uploading best-gaming-accessories-2025.json
  Uploading best-smart-home-devices-2025.json
  Uploading best-portable-monitors-2025.json
  Uploading article4.json
  Uploading best-eco-friendly-products-amazon-2025.json
  Uploading iphone-16-pro-max-review.json
  Uploading best-gaming-headsets-2025.json
  Uploading sony-wh-1000xm5-review.json
  Uploading best-amazon-gadgets-march-2025.json
  Uploading summer-2025-laptop-buying-guide.json
  Uploading best-tech-gadgets-amazon-2025.json
  Uploading iphone-17-vs-samsung-s25.json
  Uploading best-budget-tech-gadgets-2024.json
  Uploading dji-mini-4-pro-review.json
  Uploading top-5-flagship-gadgets-2025.json
  Uploading sony-wh-1000xm5-vs-bose-qc-ultra-comparison.json
  Uploading article1.json
  Uploading articles.json
  Uploading internal_linking_map.json
  Uploading best-tech-gadgets-comparison-2025.json
  Uploading index.json
  Uploading top-10-smart-home-gadgets-amazon-2025.json
  Uploading revolutionary-ai-tech-products-amazon-2025.json
  Uploading ai-assistants-comparison-2025.json
  Uploading best-wireless-earbuds-2025.json
  Uploading schema-index.json
  Uploading articles-data.js
Syncing: temp_ftp_blog/assets -> /public_html/assets
Syncing: temp_ftp_blog/assets/backgrounds -> /public_html/assets/backgrounds
Syncing: temp_ftp_blog/assets/icons -> /public_html/assets/icons
Full sync completed successfully.
